word,translation_en,translation_jp
unendlich viele Lösungen,infinite number of solutions,無限の解
gleich,even,平
entscheiden,decide,決める
zeichnerisch,graphically,グラフィック的に
sich schneiden,intersect,交差する
die Konsequenz,the consequence,結果
eine rationale Zahl,a rational number,有理数
eine Wurzel ziehen,pull a root,根を抜く
teilen,split,スプリット
kleiner oder gleich,less than or equal,以下
vereinfachen,simplify,単純化する
geschnitten mit,cut with,でカット
enthalten sein in Q,be contained in Q,Qに含まれる
höchstens,at most,せいぜい
eine Rechnung ausführen,carry out an invoice,請求書を発行する
daher,therefore,したがって
messen,measure,測定
zählen,to count,数える
steigend,rising,上昇中
optimieren,optimize,最適化する
differenzieren,differentiate,差別化する
zum Beispiel,for example,例えば
integrieren,integrate,統合する
monoton,monotonous,単調な
suchen,seek,求める
vorteilhaft,advantageous,有利
punktsymmetrisch,point symmetric,点対称
schätzen,treasure,宝物
anderenfalls,otherwise,さもないと
keine Lösung,no solution,解決策がない
unvereinbar,incompatible,互換性のない
zuordnen,assign,割り当てる
deshalb,for this reason,このため
verdoppeln,double,ダブル
eine Primzahl,a prime number,素数
vermehrt um,increased by,増加しました
für x gegen minus unendlich,for x towards minus infinity,x がマイナス無限大に向かう場合
ergeben,result,結果
gleichnamig,same name,同じ名前
nicht erfüllbare Gleichung,unsatisfiable equation,満たされない方程式
dreifach,triple,トリプル
gleichseitiges Dreieck,equilateral triangle,正三角形
in einen Kreis eingeschrieben sein,be inscribed in a circle,円に内接する
finden,find,探す
erläutern,explain,説明する
quadrat,square,四角
gleichbedeutend,equivalent,同等
"wenn, dann","if, then",もし、それでは
meinen,mean,平均
erweitern,expand,拡大する
mit einer Zahl multiplizieren,multiply by a number,数値を掛ける
negativ,negative,ネガティブ
"Dieses ist ein Widerspruch, also muss die Annahme falsch sein","This is a contradiction, so the assumption must be wrong",これは矛盾しているので、仮定が間違っているはずです
jeweils,respectively,それぞれ
eine Schlussfolgerung ziehen,draw a conclusion,結論を出す
einen Punkt auf eine Gerade setzen,put a point on a line,直線上に点を置く
hoch zwei,to the power of two,2のべき乗
rechtsgekrümmt,curved to the right,右に曲がった
umgekehrt,vice versa,逆に
mit drei potenzieren,raise to the power of three,3 乗する
ansonsten,otherwise,さもないと
gleichseitig,equilateral,等辺
zeigen,show,見せる
mindestens,at least,少なくとも
verändern,change,変化
größer,bigger,より大きな
in Faktoren zerlegen,break it down into factors,要素に分解してみる
eine Strecke halbieren,halve a distance,距離を半分にする
nennen,to name,名前を付ける
zugehörig,associated,関連する
größer oder gleich,greater than or equal to,以上
halb,half,半分
eine Dezimalzahl,a decimal number,10進数
enthalten,contain,含む
ohne Zurücklegen,without putting it back,元に戻さずに
genau,Exactly,その通り
rechtfertigen,justify,正当化する
